region,t0,policy_before,policy_after,severity_change,direction
US__New_York,2020-03-12,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__New_York,2020-03-16,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
US__New_York,2020-03-18,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__New_York,2020-03-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__New_York,2020-05-29,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__North_Carolina,2020-03-14,No_Measure,Restrict_Mass_Gatherings_and_Schools,3,tightening
US__North_Carolina,2020-03-17,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
US__North_Carolina,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__North_Carolina,2020-05-09,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__North_Dakota,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Ohio,2020-03-12,No_Measure,Restrict_Mass_Gatherings,1,tightening
